city,neighborhood,house type,house_area,garden_area,rooms,balconies,air_condition,parking,protected_room,elevator,renovated,furniture,accessibility,bars,storage,price
תל אביב יפו,"גני צהלה, רמות צהלה",דופלקס,135,0.0,5,3,1,0,1,1,0,0,0,0,0,11500
גבעת שמואל,רמת הדר,דירה,115,0.0,4,1,1,1,1,1,1,0,1,0,1,7400
תל אביב יפו,"שיכון דן, נווה דן",דירת גן,568,250.0,7.5,2,1,0,1,1,1,0,1,1,1,32000
אשקלון,ברנע,גג/פנטהאוז,155,0.0,6,1,1,1,1,1,0,0,1,0,0,7900
נתניה,,גג/פנטהאוז,240,0.0,5,2,1,1,1,1,1,0,1,0,1,16800
תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",דופלקס,400,0.0,7,3,1,1,1,1,1,1,1,0,0,35000
תל אביב יפו,יפו העתיקה,דירה,89,0.0,3.5,1,1,1,1,1,1,0,1,0,0,8600
קרית ביאליק,"מרכז העיר, סביניה, הוותיקה",דירה,46,0.0,2,0,1,0,0,0,1,1,0,0,0,2730
חולון,תל גיבורים,דירת גן,230,100.0,5.5,1,1,1,1,0,1,0,1,1,0,8000
תל אביב יפו,הצפון החדש - כיכר המדינה,דירה,90,0.0,3,0,1,1,0,1,1,0,1,0,0,11000
תל אביב יפו,הצפון החדש - כיכר המדינה,דירה,77,0.0,3.5,0,1,0,0,1,0,1,1,1,0,8400
מודיעין מכבים רעות,הנחלים,גג/פנטהאוז,187,50.0,5,2,1,1,1,1,0,1,0,1,1,8300
פתח תקווה,נווה דקלים,דירה,107,0.0,4.5,2,1,1,1,1,0,0,1,0,1,7000
ינוב,,בית פרטי/קוטג',500,314.0,5,3,1,1,1,0,1,0,0,0,0,11800
חולון,"מרכז, קרית עבודה",דירה,116,0.0,3.5,0,1,0,0,0,0,0,0,0,0,5500
קרית גת,כרמי גת,דירה,115,0.0,4,1,1,1,1,1,0,0,1,0,1,4200
קרית שמונה,דוד רזיאל,דירה,65,0.0,3,0,1,0,0,0,0,1,0,1,0,2400
הרצליה,הרצליה ב',דירה,90,0.0,3,1,1,1,1,1,1,0,1,0,1,9600
רעננה,נווה דוד רמז,דירה,135,0.0,4.5,3,1,0,0,0,1,0,0,0,0,6800
בת ים,רמת הנשיא,דירה,96,0.0,4,0,1,0,0,1,1,0,0,0,0,6200
תל אביב יפו,"גבעת הרצל, אזור המלאכה יפו",דירה,30,0.0,1.5,0,1,0,0,1,1,1,0,0,0,3900
הרצליה,מרכז,דירה,80,0.0,3,1,1,1,1,0,0,1,0,1,0,5900
חולון,"מרכז, קרית עבודה",דירה,57,0.0,3,0,0,0,0,0,0,0,0,0,0,4200
תל אביב יפו,,דירה,152,0.0,5,1,1,1,1,1,1,1,1,0,0,13250
ראשון לציון,שער הים,דירה,112,0.0,4,1,0,1,0,1,0,0,0,1,0,8000
אשדוד,"רובע ט""ז",גג/פנטהאוז,375,0.0,5,1,1,1,1,1,1,0,1,0,1,22000
גבעתיים,ארלוזורוב,דירה,105,0.0,4,1,1,1,1,1,1,0,1,0,1,9000
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,60,0.0,2,1,1,1,0,1,1,0,0,0,0,9500
קרית אתא,"גבעה א', שביט",דירה,53,0.0,2,0,1,0,0,0,1,0,0,0,0,2650
רמת גן,שכונת גפן,דירה,75,0.0,4,0,1,0,0,0,1,1,0,0,0,5400
רמת גן,שכונת הראשונים,דירה,115,0.0,4,1,0,1,1,1,1,1,1,0,0,9500
אשקלון,עיר ימים / הבלוט,דירה,90,0.0,3,1,1,1,1,1,1,0,1,0,0,3850
תל אביב יפו,,דירה,105,0.0,4,0,1,0,0,0,1,0,0,0,0,11000
בת ים,רמת יוסף,דירה,75,0.0,3,0,1,0,0,0,0,0,0,0,0,4200
תל אביב יפו,"לב תל אביב, לב העיר צפון",גג/פנטהאוז,90,0.0,1,1,1,0,0,0,0,0,0,0,0,4700
אור יהודה,סקיה,בית פרטי/קוטג',250,100.0,3,1,1,0,1,0,0,1,0,0,0,6500
תל אביב יפו,"מכללת תל אביב יפו, דקר",דירה,55,0.0,3,0,1,0,0,0,1,0,0,1,0,4800
קרית ים,קרית ים ג',דירת גן,60,30.0,1,0,1,0,0,0,1,0,1,0,0,2600
חיפה,רמות רמז,דירה,67,0.0,2.5,0,1,1,0,0,1,1,0,1,0,3000
הרצליה,הרצליה פיתוח,בית פרטי/קוטג',175,500.0,5,0,1,1,1,0,1,1,1,0,1,25500
רמת גן,"שכונת חשמונאים, מרכז העיר א",דירה,88,0.0,4,0,0,0,0,0,1,0,0,0,0,5500
כפר שמריהו,,בית פרטי/קוטג',750,0.0,7,0,1,1,0,1,0,0,0,0,0,65000
אור יהודה,נווה רבין,דירה,135,0.0,4,1,1,1,1,1,1,1,1,1,1,5890
תל אביב יפו,,דירה,89,0.0,3,1,1,0,0,1,0,0,0,0,0,5700
רמת גן,"נווה יהושע, ערמונים",דירת גן,120,30.0,4,0,0,0,0,0,1,0,1,1,0,6900
בת ים,"דרום חדש, פארק הים",דירה,114,0.0,4,1,1,1,1,1,1,0,1,0,1,8200
יקנעם עילית,גבעת יערה,יחידת דיור,32,50.0,1,1,1,0,0,0,1,1,0,1,0,2500
נתניה,עיר ימים,דירה,140,0.0,5,1,1,1,1,0,1,1,1,1,1,10500
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,62,0.0,3,0,1,1,1,1,1,0,1,0,0,10500
הרצליה,הרצליה ב',דירה,111,0.0,4,1,1,1,1,1,1,0,0,0,1,12000
תל אביב יפו,"מונטיפיורי, הרכבת",סטודיו/לופט,40,0.0,1,1,1,0,0,0,1,1,0,0,0,4200
תל אביב יפו,,דירה,83,0.0,3,1,1,0,1,1,1,1,1,0,0,14000
חולון,תל גיבורים,בית פרטי/קוטג',100,50.0,4.5,1,1,0,0,0,0,0,0,0,1,7200
הרצליה,הרצליה ב',דירה,95,0.0,3,2,1,1,1,1,1,1,1,0,1,10000
תל אביב יפו,נווה צדק,גג/פנטהאוז,92,0.0,2.5,3,1,0,0,0,1,0,0,0,0,10200
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,25,,1,0,1,0,1,1,1,1,0,0,0,3900
גני תקווה,מרכז הישוב,דירה,65,0.0,2,0,1,0,0,0,1,1,1,0,0,101
חדרה,פאר,דירה,86,0.0,4,0,1,0,0,0,0,0,0,0,0,3400
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,100,0.0,4,2,1,0,0,0,0,0,0,0,0,10000
הרצליה,הרצליה הצעירה,דירה,310,0.0,5,3,1,1,1,1,1,1,1,0,1,13500
תל אביב יפו,הצפון החדש - כיכר המדינה,דירה,60,0.0,3,0,1,0,0,0,0,1,0,1,0,6150
פרדס חנה כרכור,מרכז פרדס חנה,בית פרטי/קוטג',320,150.0,6,2,1,1,1,1,1,0,1,0,1,8700
חולון,תל גיבורים,דירה,100,0.0,4,1,1,1,1,1,1,0,1,0,0,7300
באר שבע,,דירה,56,0.0,2,1,1,1,0,0,1,1,0,0,0,2000
קרית מוצקין,"לב מוצקין, בנה ביתך",דירה,65,0.0,3,0,1,0,0,0,0,0,0,1,0,3300
אשקלון,בן גוריון,דירה,45,0.0,2,0,1,0,0,0,1,1,0,0,0,2200
תל אביב יפו,ביצרון ורמת ישראל,דירה,151,18.0,5,1,1,1,1,1,0,0,0,0,1,13000
הרצליה,הרצליה ב',דירה,90,0.0,3,1,1,1,1,1,1,1,1,1,1,10000
באר שבע,שכונה ד',דירה,80,0.0,4,0,1,0,0,0,1,1,0,0,0,2600
רמלה,נאות שמיר,גג/פנטהאוז,123,0.0,4,2,1,1,0,1,0,0,0,0,1,4800
קרית ביאליק,הפרפר,דירה,100,0.0,4,1,1,1,1,1,1,0,1,0,1,4500
גבעתיים,קרית יוסף,דירה,69,0.0,3,0,1,0,0,0,1,1,0,0,0,6800
תל אביב יפו,"גני צהלה, רמות צהלה",דירה,110,0.0,4,1,1,1,1,1,0,0,0,0,1,8500
באר שבע,שכונה ט',דירה,68,0.0,3,0,1,0,0,0,0,0,0,0,0,2100
רמת גן,תל יהודה,דו משפחתי,258,120.0,4,3,1,1,1,0,0,0,0,0,1,8280
ראשון לציון,"רמב""ם",דירה,40,0.0,1.5,1,1,0,0,0,0,0,0,1,0,3300
תל אביב יפו,"צמרות איילון, פארק צמרת",דירה,120,0.0,5,1,1,1,1,1,1,1,1,0,1,14750
חולון,בן גוריון,דירה,130,0.0,5,0,1,1,0,1,1,1,1,1,0,6900
קרית מוצקין,מוצקין הותיקה,דירת גן,50,12.0,1.5,0,1,0,0,0,1,1,1,0,0,2000
רמת השרון,קרית יערים,בית פרטי/קוטג',375,200.0,7,0,1,1,1,1,1,0,0,0,1,26000
תל אביב יפו,בבלי,דירה,100,0.0,3,1,0,1,1,1,0,1,0,0,0,13250
כפר ורדים,הפרחים,דירה,28,100.0,1,1,1,1,0,0,0,1,0,0,0,1900
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,63,0.0,2,1,1,0,1,1,1,1,0,1,0,9100
ראשון לציון,נחלת יהודה,גג/פנטהאוז,300,0.0,5,1,1,1,1,1,0,1,1,0,1,12000
תל אביב יפו,יד אליהו,דירת גן,90,0.0,4,2,1,0,1,1,1,1,1,0,0,8000
רמת גן,חרוזים,דירה,70,0.0,2,0,1,0,0,0,0,1,0,1,1,4400
תל אביב יפו,הצפון החדש - דרום,דירה,100,0.0,3.5,1,1,1,0,1,1,1,1,0,0,14000
גבעתיים,תל גנים,דירה,80,0.0,4,0,1,0,0,0,0,0,0,0,0,5200
תל אביב יפו,תל חיים,דירה,107,0.0,4,2,1,0,0,1,1,0,0,1,1,7800
באר שבע,"שכונה י""א",יחידת דיור,40,0.0,2,0,1,0,0,0,1,1,0,1,0,2100
תל אביב יפו,,גג/פנטהאוז,190,0.0,5,1,1,1,1,1,0,0,1,0,0,17000
תל אביב יפו,הצפון הישן - דרום,דירה,60,0.0,2,1,1,0,0,0,0,0,0,0,0,7000
תל אביב יפו,,דירה,125,0.0,5,1,1,1,1,1,1,0,1,0,1,20500
רעננה,קרית ויצמן,בית פרטי/קוטג',240,200.0,6,0,1,1,1,0,1,0,0,0,1,15800
אשקלון,עיר היין,דירה,140,0.0,5,2,1,1,0,1,0,0,1,0,1,5500
בית קמה,בית קמה,יחידת דיור,72,30.0,לא צוין,1,0,1,1,0,1,1,1,0,0,2400
ירושלים,מקור ברוך,דירה,220,0.0,5,2,1,1,1,1,1,1,1,0,0,25000
עכו,הכרם ב,דירה,155,0.0,5.5,2,1,1,1,1,1,1,1,1,1,5800
תל אביב יפו,"לב תל אביב, לב העיר צפון",גג/פנטהאוז,133,0.0,4,1,1,0,1,1,1,1,0,0,0,11000
הרצליה,מרכז,דירה,90,0.0,3,0,1,1,0,0,1,0,0,0,0,6500
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,80,0.0,2,2,1,0,0,0,1,0,0,0,0,9900
אורנית,,דו משפחתי,300,0.0,5,0,1,1,1,0,0,0,1,0,0,9900
בית עובד,בית עובד,דירה,100,20.0,3,1,1,1,1,0,1,0,0,0,0,8800
באר שבע,"שכונה י""א",דירה,93,0.0,4,0,1,1,0,1,0,0,1,0,0,3000
קרית אתא,"גבעת הרקפות, גבעת תל חי",דירת גן,120,25.0,4.5,0,1,0,0,0,1,0,1,0,0,3000
ראשון לציון,ראשונים,דירה,60,0.0,2.5,0,1,0,0,0,1,0,0,0,0,3950
הרצליה,בינתחומי,גג/פנטהאוז,151,0.0,4.5,1,1,1,1,1,1,0,1,0,1,18000
נתניה,אגמים,דירה,130,0.0,4.5,2,1,1,1,1,0,0,1,0,1,9500
גבעתיים,תל גנים,דירה,67,0.0,3,1,1,0,0,0,0,1,0,1,0,5300
נתניה,גלי הים,דירה,150,0.0,4,1,1,1,0,1,1,0,1,0,0,9700
תל אביב יפו,הצפון החדש - דרום,דירה,75,0.0,3,0,1,0,0,1,1,0,1,0,0,9500
הרצליה,מרכז,דירה,95,0.0,4,0,1,0,0,1,1,1,0,0,0,5500
עכו,,דירה,150,0.0,5,1,1,1,1,1,1,0,1,0,1,4400
תל אביב יפו,"צמרות איילון, פארק צמרת",דירה,195,0.0,4,1,1,1,1,1,1,1,1,0,1,22000
פתח תקווה,כפר גנים ג,דירה,114,0.0,4.5,1,1,1,1,1,1,0,1,1,1,7300
תל אביב יפו,,דירה,110,0.0,4,1,1,0,1,1,1,0,1,0,1,15000
אור יהודה,"בית בפארק ,פרדס בחסכון",דירה,174,0.0,6,1,1,1,1,1,0,0,1,0,1,7300
באר שבע,"שכונה י""א",דירה,72,0.0,3,0,1,0,0,0,0,1,0,0,0,2000
קרית אתא,"גבעת הרקפות, גבעת תל חי",דירה,135,0.0,4,1,1,1,1,0,1,0,0,0,1,5200
רמת גן,רמת אפעל,דירה,134,0.0,5,1,1,1,1,1,0,0,0,0,1,8500
הרצליה,נחלת עדה,יחידת דיור,19,0.0,1,0,1,0,0,0,0,1,0,0,0,2500
גבעתיים,סיטי,דירה,134,0.0,5,1,0,1,0,0,0,0,0,0,0,11500
ראשון לציון,נווה ים,דו משפחתי,250,0.0,6,2,1,1,1,0,1,0,0,0,0,12500
קרית ים,קרית ים ב',יחידת דיור,30,0.0,2,0,1,1,0,0,1,1,0,0,0,2300
באר שבע,שכונה ג',דירה,93,0.0,4,0,1,0,0,0,0,1,0,0,0,2900
באר שבע,שכונה ה',יחידת דיור,40,0.0,2,0,1,1,0,0,0,1,0,1,0,1900
באר שבע,שכונה ו',יחידת דיור,32,0.0,2,0,1,0,0,0,1,1,0,0,0,1650
להבים,שאר העיר,בית פרטי/קוטג',630,430.0,6,1,1,1,1,0,0,0,0,0,0,6500
תל אביב יפו,הצפון הישן - צפון,דירה,155,0.0,3,1,1,1,1,1,0,0,1,0,1,35000
אשקלון,נווה ים,יחידת דיור,45,45.0,לא צוין,1,1,1,0,0,1,1,0,0,1,3000
פתח תקווה,הדר המושבות החדשה / אם המושבות החדשה,דירה,135,0.0,5,2,1,1,1,1,0,0,1,0,1,8000
תל אביב יפו,הדר יוסף,סאבלט,80,0.0,3,0,1,0,0,0,1,1,0,1,0,5500
קדימה צורן,שאר העיר,דירה,90,0.0,3,1,1,0,0,0,1,1,0,0,0,4800
באר שבע,"שכונה י""א",דירה,45,0.0,3,0,1,0,0,0,1,1,0,1,0,2500
אבני חפץ,אבני חפץ,דירה,95,0.0,5,2,1,1,1,1,0,0,1,0,0,2800
הרצליה,מרכז,דירה,95,0.0,4,1,1,1,1,1,1,1,1,0,0,7990
תל אביב יפו,הצפון הישן - צפון,דירה,85,0.0,3,0,1,0,0,0,1,1,1,1,1,7900
נהורה,נהורה,בית פרטי/קוטג',525,455.0,3,1,1,1,0,0,1,1,1,0,1,4900
תל מונד,,דו משפחתי,427,100.0,9,2,1,1,1,0,0,0,1,0,1,15500
רמלה,נאות שמיר,דירה,132,19.0,5,1,1,1,1,1,1,0,1,0,1,5800
תל אביב יפו,הצפון הישן - דרום,דירה,50,0.0,2,1,1,0,0,0,1,0,0,1,0,6400
תל אביב יפו,נאות אפקה ב',גג/פנטהאוז,170,0.0,4,2,1,1,1,1,1,1,1,0,1,14900
רמת השרון,קרית יערים,גג/פנטהאוז,240,0.0,4,1,1,1,0,1,1,0,1,0,0,9300
באר שבע,"שכונה י""א",דירה,70,0.0,3,0,1,0,0,0,1,1,0,1,0,2650
תל אביב יפו,פלורנטין,דירה,35,0.0,2,0,1,0,0,0,1,1,0,1,0,4600
חיפה,זיו,דירה,120,40.0,3,1,1,1,1,1,0,0,1,0,0,5650
תל אביב יפו,הצפון החדש - כיכר המדינה,דירה,120,0.0,4,0,1,1,0,1,1,1,1,1,0,12500
תל אביב יפו,נווה צדק,דירת גן,180,25.0,4,2,1,1,0,0,1,0,0,1,0,26000
חיבת ציון,חיבת ציון,בית פרטי/קוטג',352,0.0,7,1,1,1,1,0,0,0,0,0,0,16000
ראשון לציון,שיכוני המזרח,בית פרטי/קוטג',90,250.0,3,0,1,0,0,0,0,0,0,0,0,5300
חיפה,,דירה,140,0.0,5,1,1,1,1,1,1,0,1,0,1,8000
תל אביב יפו,כוכב הצפון,דירה,120,0.0,5,1,1,1,1,1,1,0,1,0,0,13900
כפר יונה,שאר העיר,דו משפחתי,622,488.0,4.5,2,1,1,1,0,0,0,1,0,1,9500
קרית ארבע,קרית ארבע,דירה,170,0.0,5,2,0,1,1,1,1,0,1,0,0,4150
אלפי מנשה,אלפי מנשה,בית פרטי/קוטג',300,100.0,7,2,1,1,1,0,0,0,0,0,0,8600
חולון,גרין ועם,דירה,80,0.0,3,1,1,0,0,1,0,0,1,0,0,4600
תל אביב יפו,נווה אביבים,דירה,100,0.0,4,0,1,1,0,1,1,1,1,0,0,11500
רמת גן,נחלת גנים,דירה,24,0.0,2,0,1,0,0,0,1,1,1,1,0,3200
הוד השרון,הדר,בית פרטי/קוטג',1250,1000.0,6,2,1,1,0,0,0,1,0,0,0,17500
תל אביב יפו,"אזורי חן, גימל החדשה",דירה,105,0.0,4,1,1,1,1,1,0,0,0,0,1,14000
תל אביב יפו,רמת אביב ג',דירה,152,0.0,5,2,1,1,0,1,1,1,0,1,1,11500
תל אביב יפו,"מכללת תל אביב יפו, דקר",דירה,100,0.0,4,1,1,1,1,1,1,0,0,0,0,9000
תל אביב יפו,"גני שרונה, קרית הממשלה",דירה,77,0.0,3,1,1,1,1,1,0,0,0,0,0,13000
רמת גן,יד לבנים,דופלקס,190,0.0,5,1,1,1,0,1,1,1,0,0,0,8600
רמת גן,רמת אפעל,דירה,125,0.0,4,1,1,1,1,1,1,0,1,0,0,7800
תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",דירה,114,0.0,4,1,1,1,1,1,1,0,1,0,1,11000
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,90,0.0,3.5,1,1,0,0,0,1,1,0,0,1,10800
חיפה,רמת הדר,דירה,44,0.0,2,1,1,0,0,0,1,1,0,1,0,2950
הרצליה,צמרות,דירה,128,0.0,4.5,1,1,1,1,1,0,0,1,0,1,8300
ראשון לציון,נווה חוף,דירה,100,0.0,4,0,1,1,0,1,1,0,1,0,0,6000
רמת גן,רמת השקמה,גג/פנטהאוז,120,60.0,2.5,1,1,0,0,0,0,0,0,0,0,4800
תל אביב יפו,,דירה,111,0.0,4,1,0,1,1,1,0,1,0,0,0,14300
רמת גן,"שכונת יהלום, מרכז העיר ב",דירה,30,0.0,2,0,1,0,0,0,1,1,0,1,0,3500
אשקלון,גבעת ציון וגבעת הפרחים,יחידת דיור,90,0.0,3,1,1,1,1,0,1,1,1,1,1,2399
תל אביב יפו,רמת אביב ג',דירה,130,0.0,4,1,1,1,1,1,1,0,1,0,0,12000
קרית אתא,מרכז העיר,דירה,70,0.0,3,0,1,1,0,0,1,1,0,0,0,3200
תל אביב יפו,נווה שאנן,דירה,74,0.0,3,1,1,1,1,1,0,0,1,0,0,5750
תל אביב יפו,הצפון הישן - צפון,דירה,75,0.0,2,2,1,0,0,1,0,1,0,0,1,6700
נתניה,נוף הטיילת,בית פרטי/קוטג',340,120.0,5,2,1,1,1,0,0,0,0,0,1,16000
אילת,אזור תעשייה,תיירות ונופש,48,0.0,2,1,1,0,0,1,0,1,0,0,0,5900
טירת כרמל,החותרים,דירה,145,0.0,5,2,1,1,1,1,1,1,1,1,1,5500
ראש העין,פסגות אפק,דירה,177,0.0,5,1,1,1,1,1,1,0,1,1,1,6700
חולון,"מרכז, קרית עבודה",דירה,52,0.0,2.5,0,1,1,0,1,1,0,0,0,0,4200
רמלה,נאות שמיר,דירה,135,0.0,5,1,1,1,1,1,0,0,1,0,0,5400
ירושלים,קרית היובל,דירה,110,0.0,4,2,0,0,1,0,1,0,0,0,0,6000
ירושלים,"בית הכרם, רמת בית הכרם",בית פרטי/קוטג',200,0.0,6,2,1,1,1,0,1,0,0,1,1,15000
תל אביב יפו,נווה שאנן,דירה,70,0.0,3,1,1,1,1,1,0,0,1,0,0,5500
תל אביב יפו,,דירה,70,0.0,3,1,1,1,1,1,1,0,1,0,0,9000
תל אביב יפו,"גני שרונה, קרית הממשלה",דופלקס,97,0.0,4,1,1,1,1,1,1,0,1,0,1,11000
באר שבע,רמות,דו משפחתי,250,90.0,5,1,1,1,1,0,0,0,0,1,1,5700
חיפה,"נעמ""ת",דירה,100,0.0,5,0,1,1,0,0,1,0,0,0,0,4900
רעננה,נווה דוד רמז,דירה,175,0.0,5,1,1,1,1,1,0,0,1,0,0,9500
נתניה,גלי הים,דירה,158,0.0,6,1,1,1,1,1,0,1,1,0,1,9500
הרצליה,נחלת עדה,בית פרטי/קוטג',380,260.0,5,1,1,0,0,0,1,1,1,0,1,14000
באר שבע,רמות הרכס,דירה,100,0.0,4,1,1,1,1,1,0,0,1,0,0,4100
ראשון לציון,נחלת יהודה,יחידת דיור,50,0.0,2,0,1,0,0,0,0,1,0,0,0,3800
תל אביב יפו,בבלי,דירה,187,0.0,לא צוין,1,1,1,1,1,0,0,0,0,1,26000
תל אביב יפו,,דופלקס,85,0.0,3,1,1,0,0,1,1,0,0,0,0,9000
חולון,רסקו ב',דירת גן,155,70.0,3,1,1,0,1,0,1,0,1,1,0,5650
אשקלון,אפרידר,יחידת דיור,60,0.0,1,1,1,1,1,0,1,1,0,0,0,2500
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,60,0.0,2,1,1,0,1,1,1,1,1,0,1,10500
טבריה,קרית שמואל,גג/פנטהאוז,130,0.0,4.5,0,1,1,0,1,1,0,1,0,1,3500
אילת,"שבטי ישראל, שחמון, רובע 7",דירה,120,0.0,5,0,1,0,1,1,0,0,1,0,0,5600
קרית ביאליק,צור שלום,דירה,70,0.0,3,0,1,0,0,0,0,1,0,0,0,2400
אשדוד,"רובע הקריה, הסיטי",דופלקס,180,0.0,5.5,2,1,1,1,1,1,1,1,1,0,8300
תל אביב יפו,פלורנטין,דירה,42,0.0,2,0,1,0,0,0,1,1,0,0,0,5400
רמלה,נאות שמיר,דירה,142,0.0,5,1,1,1,1,1,0,0,1,0,0,6000
תל אביב יפו,רמת אביב ג',דירה,130,0.0,4,1,1,1,1,1,1,1,1,0,0,12500
סביון,,בית פרטי/קוטג',1600,0.0,7,0,0,0,0,0,0,0,0,0,0,27000
רמת גן,"שכונת יהלום, מרכז העיר ב",דירה,80,0.0,3,1,1,1,1,1,1,0,0,0,0,6200
תל אביב יפו,"צמרות איילון, פארק צמרת",דירה,114,0.0,2.5,1,1,1,1,1,1,1,1,0,0,15000
הרצליה,"הרצליה הירוקה, נווה עובד",גג/פנטהאוז,128,0.0,4,2,1,1,1,1,1,1,1,0,1,14900
באר שבע,שכונה ד',דירה,40,0.0,3,0,1,1,1,0,1,1,0,1,0,2600
הוד השרון,מתחם 1200,דירה,155,0.0,5,1,1,1,1,1,1,0,1,0,1,8500
נתניה,קרית נורדאו,דירה,70,0.0,3,0,1,0,0,0,0,0,0,0,0,4000
רמלה,המרכז האזרחי,דירה,57,0.0,3,0,1,1,0,0,1,0,0,0,0,3200
רמת גן,"נווה יהושע, ערמונים",דירה,85,0.0,4,1,1,1,1,1,0,0,1,0,0,7700
באר שבע,שכונה ב',דירה,76,0.0,3,0,1,0,0,0,1,1,0,1,0,2850
ירושלים,גילה,דירה,70,0.0,3,1,1,0,0,0,1,1,0,0,0,4000
קרית ביאליק,צור שלום,דירת גן,45,0.0,2,0,1,0,0,0,1,1,1,0,0,2800
רמת ישי,שאר העיר,דירה,90,0.0,4.5,0,1,1,0,0,1,1,0,1,0,3500
הרצליה,"הרצליה הירוקה, נווה עובד",גג/פנטהאוז,190,40.0,5,1,1,1,1,1,1,1,1,0,0,13750
צופית,צופית,יחידת דיור,70,0.0,1.5,1,1,1,0,0,0,0,0,0,0,5000
קרית אונו,נאות אריאל שרון,דירה,91,0.0,3,1,1,1,1,1,0,0,0,0,0,6700
אור עקיבא,אור ים,דירה,125,0.0,5,1,1,1,1,1,0,0,0,0,0,5800
באר שבע,שכונה ג',דירה,91,0.0,4,0,1,0,0,0,0,1,0,1,0,3250
קרית אתא,"גבעת הרקפות, גבעת תל חי",דירת גן,60,8.0,2.5,1,1,1,0,0,0,1,1,0,0,2400
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",דירה,90,0.0,4,2,1,1,1,1,1,0,0,1,0,12000
הוד השרון,מגדיאל,דירה,108,0.0,4,1,1,1,1,1,1,0,1,0,1,7900
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",דירה,56,0.0,3,0,1,1,1,1,1,1,0,0,0,8900
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",דירה,55,5.0,2,1,1,1,1,1,1,0,1,0,0,8500
תל אביב יפו,נווה אביבים,דירה,105,0.0,4.5,1,1,0,1,1,1,0,1,1,0,11200
רמת גן,"שכונת יהלום, מרכז העיר ב",דירה,60,0.0,3,1,1,1,1,1,1,0,0,0,0,6500
תל אביב יפו,"צמרות איילון, פארק צמרת",דירה,134,0.0,5,1,1,1,1,1,0,1,1,0,1,15500
אור יהודה,"בית בפארק ,פרדס בחסכון",גג/פנטהאוז,350,0.0,5,1,1,1,1,1,1,1,1,0,1,13000
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",דירה,50,0.0,2,0,1,1,0,1,0,0,1,0,0,6100
רמת גן,רמת אפעל,דירה,135,0.0,5,1,1,1,1,1,1,0,1,0,0,7300
חולון,קרית שרת מערב,גג/פנטהאוז,200,0.0,5,1,1,1,0,1,0,1,1,0,0,6900
